marca,id,name,img_url,family_unificada,family_original
bershka,226931764,Cazadora nylon capucha Waterproof & Windproof,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931764.jpg,Chaquetas y Cazadoras,cazadora
bershka,226927309,Cazadora encerada pana pañuelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226927309.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926854,Trench largo cinturón efecto piel cuello funnel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926854.jpg,Chaquetas y Cazadoras,cazadora
bershka,229736966,Chaqueta denim balloon cropped,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229736966.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926985,Blazer fitted botones traseros,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926985.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931784,Cazadora efecto piel hebillas,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931784.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926866,Blazer cruzada botones,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926866.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931285,Cazadora efecto piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931285.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931280,Cazadora acolchada capucha,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931280.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931822,Cazadora paño frunce bajo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931822.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926750,Cazadora acolchada water repellent,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926750.jpg,Chaquetas y Cazadoras,cazadora
bershka,226926851,Blazer botones cruzada,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226926851.jpg,Chaquetas y Cazadoras,cazadora
bershka,231815743,Cazadora náutica,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/231815743.jpg,Chaquetas y Cazadoras,cazadora
bershka,231041441,Cazadora cortavientos capucha,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/231041441.jpg,Chaquetas y Cazadoras,cazadora
bershka,230330505,Cazadora técnica contraste,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/230330505.jpg,Chaquetas y Cazadoras,cazadora
bershka,229741742,Chaqueta denim fitted asimétrica,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229741742.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730732,Cazadora efecto piel cuello chimenea,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730732.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730573,Cazadora biker piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730573.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730542,Cazadora piel bolsillos,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730542.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730151,Cazadora suede cinturón,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730151.jpg,Chaquetas y Cazadoras,cazadora
bershka,229730004,Cazadora efecto lavado,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229730004.jpg,Chaquetas y Cazadoras,cazadora
bershka,229723193,Cazadora biker efecto piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229723193.jpg,Chaquetas y Cazadoras,cazadora
bershka,229722974,Abrigo largo soft touch,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/229722974.jpg,Chaquetas y Cazadoras,cazadora
bershka,233632268,Camiseta manga corta oversize MARINA SENA,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/233632268.jpg,Camisetas,camisetas
bershka,227850032,Cazadora denim botones,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227850032.jpg,Chaquetas y Cazadoras,cazadora
bershka,227371407,Cazadora cremallera peplum,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227371407.jpg,Chaquetas y Cazadoras,cazadora
bershka,227263454,Chaqueta denim cropped,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227263454.jpg,Chaquetas y Cazadoras,cazadora
bershka,227263451,Cazadora denim alamares,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/227263451.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931823,Cazadora cuello chimenea efecto piel,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931823.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931821,Cazadora paño bajo fruncido,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931821.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931777,Cazadora acolchada capucha pelo,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931777.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931762,Cazadora oversize tejido scuba,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931762.jpg,Chaquetas y Cazadoras,cazadora
bershka,226931712,Cazadora técnica capucha contraste,https://tyoqkvnleusdsdwimjbj.supabase.co/storage/v1/object/public/bershka/226931712.jpg,Chaquetas y Cazadoras,cazadora
